Trade Date,Volume
2019-10-01,6003
2019-10-02,6538
2019-10-03,690
2019-10-04,1758
2019-10-07,1346
2019-10-08,1090
2019-10-09,2309
2019-10-10,1205
2019-10-11,2226
2019-10-14,3440
2019-10-15,4146
2019-10-16,4774
2019-10-17,3262
2019-10-18,3844
2019-10-21,5627
2019-10-22,12117
2019-10-23,3520
2019-10-24,2153
2019-10-25,1434
2019-10-28,788
2019-10-29,1337
2019-10-30,2579
2019-10-31,2111
2019-11-01,4887
2019-11-04,616
2019-11-05,1904
2019-11-06,6213
2019-11-07,2006
2019-11-08,1626
2019-11-11,1022
2019-11-12,931
2019-11-13,333
2019-11-14,1635
2019-11-15,3602
2019-11-18,11768
2019-11-19,13230
2019-11-20,2008
2019-11-21,1084
2019-11-22,3100
2019-11-25,6397
2019-11-26,7309
2019-11-27,4659
2019-11-29,572
2019-12-02,2363
2019-12-03,1347
2019-12-04,2197
2019-12-05,2439
2019-12-06,5053
2019-12-09,10424
2019-12-10,17856
2019-12-11,26139
2019-12-12,10940
2019-12-13,4548
2019-12-16,14401
2019-12-17,9591
2019-12-18,16720
2019-12-19,2248
2019-12-20,13736
2019-12-23,5772
2019-12-24,1890
2019-12-26,3138
2019-12-27,8440
2019-12-30,13366
2019-12-31,7921
2020-01-02,9861
2020-01-03,5315
2020-01-06,2433
2020-01-07,7349
2020-01-08,6469
2020-01-09,3470
2020-01-10,3572
2020-01-13,7911
2020-01-14,6020
2020-01-15,5388
2020-01-16,4000
2020-01-17,3453
2020-01-21,3544
2020-01-22,1905
2020-01-23,778
2020-01-24,2006
2020-01-27,1232
2020-01-28,1463
2020-01-29,1171
2020-01-30,1874
2020-01-31,1852
2020-02-03,1792
2020-02-04,2319
2020-02-05,2241
2020-02-06,1455
2020-02-07,3101
2020-02-10,7136
2020-02-11,2619
2020-02-12,8337
2020-02-13,1895
2020-02-14,1617
2020-02-18,1613
2020-02-19,2160
2020-02-20,1580
2020-02-21,2425
2020-02-24,2283
2020-02-25,3447
2020-02-26,3401
2020-02-27,4038
2020-02-28,2466
2020-03-02,1612
2020-03-03,2319
2020-03-04,1757
2020-03-05,5431
2020-03-06,3276
2020-03-09,5004
2020-03-10,4094
2020-03-11,4572
2020-03-12,6259
2020-03-13,11935
2020-03-16,6080
2020-03-17,2591
2020-03-18,10897
2020-03-19,5057
2020-03-20,9349
2020-03-23,8825
2020-03-24,7946
2020-03-25,7366
2020-03-26,20320
2020-03-27,13465
2020-03-30,7288
2020-03-31,4667
2020-04-01,7640
2020-04-02,7123
2020-04-03,8951
2020-04-06,7238
2020-04-07,7432
2020-04-08,6868
2020-04-09,9551
2020-04-13,10708
2020-04-14,32854
2020-04-15,38528
2020-04-16,6897
2020-04-17,11728
2020-04-20,7949
2020-04-21,7101
2020-04-22,9335
2020-04-23,5040
2020-04-24,4396
2020-04-27,16159
2020-04-28,11949
2020-04-29,7762
2020-04-30,6273
