Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2019/10/01,GME,GME,S,BATS,1840
2019/10/01,GME,GME,S,C2,66
2019/10/01,GME,GME,S,CBOE,3274
2019/10/01,GME,GME,S,EDGX,823
2019/10/02,GME,GME,S,BATS,2421
2019/10/02,GME,GME,S,C2,1288
2019/10/02,GME,GME,S,CBOE,1988
2019/10/02,GME,GME,S,EDGX,841
2019/10/03,GME,GME,S,BATS,360
2019/10/03,GME,GME,S,C2,20
2019/10/03,GME,GME,S,CBOE,267
2019/10/03,GME,GME,S,EDGX,43
2019/10/04,GME,GME,S,BATS,522
2019/10/04,GME,GME,S,C2,47
2019/10/04,GME,GME,S,CBOE,914
2019/10/04,GME,GME,S,EDGX,275
2019/10/07,GME,GME,S,BATS,970
2019/10/07,GME,GME,S,C2,75
2019/10/07,GME,GME,S,CBOE,139
2019/10/07,GME,GME,S,EDGX,162
2019/10/08,GME,GME,S,BATS,613
2019/10/08,GME,GME,S,C2,11
2019/10/08,GME,GME,S,CBOE,373
2019/10/08,GME,GME,S,EDGX,93
2019/10/09,GME,GME,S,BATS,388
2019/10/09,GME,GME,S,C2,97
2019/10/09,GME,GME,S,CBOE,1554
2019/10/09,GME,GME,S,EDGX,270
2019/10/10,GME,GME,S,BATS,237
2019/10/10,GME,GME,S,C2,50
2019/10/10,GME,GME,S,CBOE,861
2019/10/10,GME,GME,S,EDGX,57
2019/10/11,GME,GME,S,BATS,1082
2019/10/11,GME,GME,S,C2,163
2019/10/11,GME,GME,S,CBOE,780
2019/10/11,GME,GME,S,EDGX,201
2019/10/14,GME,GME,S,BATS,1688
2019/10/14,GME,GME,S,C2,34
2019/10/14,GME,GME,S,CBOE,1352
2019/10/14,GME,GME,S,EDGX,366
2019/10/15,GME,GME,S,BATS,1944
2019/10/15,GME,GME,S,C2,21
2019/10/15,GME,GME,S,CBOE,1521
2019/10/15,GME,GME,S,EDGX,660
2019/10/16,GME,GME,S,BATS,2990
2019/10/16,GME,GME,S,C2,302
2019/10/16,GME,GME,S,CBOE,1177
2019/10/16,GME,GME,S,EDGX,305
2019/10/17,GME,GME,S,BATS,1672
2019/10/17,GME,GME,S,C2,129
2019/10/17,GME,GME,S,CBOE,1122
2019/10/17,GME,GME,S,EDGX,339
2019/10/18,GME,GME,S,BATS,2056
2019/10/18,GME,GME,S,C2,22
2019/10/18,GME,GME,S,CBOE,1324
2019/10/18,GME,GME,S,EDGX,442
2019/10/21,GME,GME,S,BATS,1485
2019/10/21,GME,GME,S,C2,81
2019/10/21,GME,GME,S,CBOE,3433
2019/10/21,GME,GME,S,EDGX,628
2019/10/22,GME,GME,S,BATS,2767
2019/10/22,GME,GME,S,C2,406
2019/10/22,GME,GME,S,CBOE,7889
2019/10/22,GME,GME,S,EDGX,1055
2019/10/23,GME,GME,S,BATS,2214
2019/10/23,GME,GME,S,CBOE,800
2019/10/23,GME,GME,S,EDGX,506
2019/10/24,GME,GME,S,BATS,597
2019/10/24,GME,GME,S,CBOE,847
2019/10/24,GME,GME,S,EDGX,709
2019/10/25,GME,GME,S,BATS,623
2019/10/25,GME,GME,S,C2,48
