date,ox,teddy_bear,rocket,full_moon,new_moon_face,rainbowbear,bear,gem_stonepalms_up_together,raising_hands,gem_stone,roll_of_paperpalms_up_together,poultry_leg,gorilla,flexed_biceps,high_voltage,clown_face,chart_increasing,smiling_face_with_hearts,smiling_face_with_heart-eyes,hundred_points
2019-10-22,0,1,0,0,1,0,18,0,4,1,0,0,0,2,0,1,1,2,1,0
2019-10-23,0,0,9,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,2
2019-10-24,3,0,12,0,0,0,26,0,0,0,0,0,0,0,0,3,0,0,0,9
2019-10-25,0,0,10,0,0,0,11,0,2,0,0,0,0,2,0,2,3,0,0,3
2019-10-28,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,4,2,0,0,1
2019-10-29,1,1,13,0,8,0,17,2,0,4,0,0,0,0,0,2,0,2,11,0
2019-10-30,1,1,0,0,0,0,18,0,0,1,0,0,0,0,2,0,0,1,0,0
2019-10-31,5,0,0,1,0,0,23,0,0,9,0,0,0,0,0,0,1,0,1,0
2019-11-01,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1
2019-11-04,0,6,0,0,0,0,101,0,0,0,0,0,0,0,0,3,0,0,0,0
2019-11-05,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-06,0,0,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
2019-11-07,0,1,11,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,3
2019-11-08,0,0,19,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0
2019-11-11,3,1,60,0,0,0,132,0,1,2,0,0,0,0,0,0,0,0,0,1
2019-11-12,0,0,13,0,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0
2019-11-13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,3,0,0,0
2019-11-14,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2019-11-15,1,0,6,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-11-18,0,0,10,0,0,0,5,0,1,0,0,0,0,0,0,5,0,0,2,0
2019-11-19,2,0,7,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0
2019-11-20,1,0,2,0,0,0,6,0,0,0,0,0,0,3,0,1,0,2,0,0
2019-11-21,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,3
2019-11-22,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,0,0,3,0,0,0,59,0,0,0,0,0,0,1,0,0,0,1,0,0
2019-11-26,1,0,3,0,0,0,14,0,0,0,0,0,0,4,0,3,1,0,0,0
2019-11-27,0,0,3,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,4
2019-11-28,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
2019-11-29,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0
2019-12-02,3,0,6,0,0,0,23,0,0,2,0,0,0,1,0,0,0,1,1,3
2019-12-03,3,0,9,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-12-04,9,0,2,0,0,0,9,0,0,0,0,0,0,0,0,2,1,0,0,0
2019-12-05,1,0,0,0,0,0,6,0,0,0,0,1,0,4,0,0,0,0,0,3
2019-12-06,4,0,7,0,0,0,12,0,0,0,0,0,0,4,0,0,2,0,0,0
2019-12-09,0,0,4,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
2019-12-10,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
2019-12-11,0,0,29,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0
2019-12-12,0,0,5,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0
2019-12-13,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-16,1,0,25,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0
2019-12-17,0,0,2,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0
2019-12-18,0,0,0,0,0,0,7,0,0,0,0,5,0,3,0,0,13,1,4,0
2019-12-19,0,0,7,0,0,0,2,0,0,1,0,0,0,2,0,1,3,1,0,0
2019-12-20,0,0,14,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,1
2019-12-23,0,0,18,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,4,0
2019-12-24,0,0,8,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,2,0
2019-12-25,0,0,6,0,1,0,1,0,1,0,0,1,0,2,0,0,2,1,0,1
2019-12-26,0,0,22,0,0,0,2,0,1,0,0,0,0,3,0,1,0,1,0,0
2019-12-27,6,1,8,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,2
2019-12-30,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0
2019-12-31,6,0,6,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-01-02,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-03,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,1,2,0
2020-01-06,0,0,15,1,0,0,9,0,0,0,0,0,0,5,0,0,3,0,0,0
2020-01-07,1,0,10,0,0,0,5,0,0,2,0,0,0,3,0,1,0,0,2,0
2020-01-08,5,0,6,0,0,0,9,0,0,1,0,0,0,0,0,0,2,0,0,0
2020-01-09,1,0,23,0,1,0,3,0,1,1,0,0,0,2,2,0,1,0,0,1
2020-01-10,0,1,20,2,3,0,6,0,0,1,0,0,0,0,0,3,5,0,0,1
