date,retards,GME gang,Buy GME,HOLD GME,Diamond hands
12,0,0,0,0,0
13,0,0,0,0,0
2019-10-22,0,0,0,0,0
2019-10-23,2,0,0,0,1
2019-10-24,0,0,0,0,0
2019-10-25,0,0,0,0,0
2019-10-28,1,0,0,0,0
2019-10-29,1,0,0,0,0
2019-10-30,3,0,0,0,0
2019-10-31,0,0,0,0,1
2019-11-01,0,0,0,0,1
2019-11-04,1,0,0,0,1
2019-11-05,1,0,0,0,0
2019-11-06,5,0,0,0,0
2019-11-07,1,0,0,0,0
2019-11-08,1,0,0,0,0
2019-11-11,3,0,0,0,0
2019-11-12,2,0,0,0,0
2019-11-13,4,0,0,0,0
2019-11-14,4,0,0,0,0
2019-11-15,1,0,0,0,0
2019-11-18,1,0,0,0,0
2019-11-19,2,0,0,0,0
2019-11-20,0,0,0,0,0
2019-11-21,1,0,0,0,0
2019-11-22,2,0,0,0,0
2019-11-25,3,0,0,0,0
2019-11-26,4,0,0,0,0
2019-11-27,3,0,0,0,1
2019-11-28,1,0,0,0,0
2019-11-29,1,0,0,0,0
2019-12-02,0,0,0,0,0
2019-12-03,5,0,0,0,0
2019-12-04,3,0,0,0,0
2019-12-05,0,0,0,0,1
2019-12-06,1,0,0,0,0
2019-12-09,2,0,0,0,0
2019-12-10,2,0,0,0,0
2019-12-11,2,0,0,0,0
2019-12-12,2,0,0,0,0
2019-12-13,3,0,0,0,0
2019-12-16,1,0,0,0,0
2019-12-17,4,0,0,0,0
2019-12-18,0,0,0,0,0
2019-12-19,3,0,0,0,0
2019-12-20,2,0,0,0,0
2019-12-23,0,0,0,0,0
2019-12-24,2,0,0,0,1
2019-12-25,1,0,0,0,0
2019-12-26,0,0,0,0,0
2019-12-27,1,0,0,0,0
2019-12-30,1,0,0,0,2
2019-12-31,1,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,1,0,0,0,1
2020-01-03,2,0,0,0,0
2020-01-06,1,0,0,0,0
2020-01-07,1,0,0,0,1
2020-01-08,1,0,0,0,1
2020-01-09,1,0,0,0,1
