date,created
2019-10-22,488
2019-10-23,477
2019-10-24,483
2019-10-25,486
2019-10-28,483
2019-10-29,486
2019-10-30,484
2019-10-31,491
2019-11-01,488
2019-11-04,477
2019-11-05,482
2019-11-06,480
2019-11-07,481
2019-11-08,482
2019-11-11,478
2019-11-12,478
2019-11-13,476
2019-11-14,486
2019-11-15,475
2019-11-18,488
2019-11-19,485
2019-11-20,485
2019-11-21,486
2019-11-22,488
2019-11-25,485
2019-11-26,486
2019-11-27,490
2019-11-28,479
2019-11-29,476
2019-12-02,482
2019-12-03,483
2019-12-04,487
2019-12-05,483
2019-12-06,484
2019-12-09,480
2019-12-10,484
2019-12-11,480
2019-12-12,481
2019-12-13,487
2019-12-16,489
2019-12-17,466
2019-12-18,486
2019-12-19,474
2019-12-20,483
2019-12-23,471
2019-12-24,483
2019-12-25,420
2019-12-26,489
2019-12-27,480
2019-12-30,481
2019-12-31,485
2020-01-01,476
2020-01-02,480
2020-01-03,477
2020-01-06,478
2020-01-07,482
2020-01-08,482
2020-01-09,484
2020-01-10,479
2020-01-13,475
2020-01-14,478
2020-01-15,476
2020-01-16,483
2020-01-17,480
2020-01-20,481
2020-01-21,484
2020-01-22,486
2020-01-23,487
2020-01-24,487
2020-01-27,481
2020-01-28,484
2020-01-29,477
2020-01-30,476
2020-01-31,471
2020-02-03,488
2020-02-04,479
2020-02-05,484
2020-02-06,489
2020-02-07,479
2020-02-10,473
2020-02-11,486
2020-02-12,481
2020-02-13,487
2020-02-14,482
2020-02-17,488
2020-02-18,473
2020-02-19,484
2020-02-20,484
2020-02-21,484
2020-02-24,483
2020-02-25,487
2020-02-26,477
2020-02-27,489
2020-02-28,474
2020-03-02,482
2020-03-03,491
2020-03-04,492
2020-03-05,482
2020-03-06,490
2020-03-09,488
2020-03-10,488
2020-03-11,495
2020-03-12,481
2020-03-13,477
2020-03-16,483
2020-03-17,482
2020-03-18,478
2020-03-19,480
2020-03-20,485
2020-03-23,486
2020-03-24,490
2020-03-25,485
2020-03-26,484
2020-03-27,486
2020-03-30,491
2020-03-31,486
2020-04-01,486
2020-04-02,479
2020-04-03,484
2020-04-06,479
2020-04-07,487
2020-04-08,487
2020-04-09,478
2020-04-10,401
2020-04-13,485
2020-04-14,484
2020-04-15,481
2020-04-16,486
2020-04-17,482
2020-04-20,485
2020-04-21,490
2020-04-22,491
2020-04-23,484
2020-04-24,485
2020-04-27,479
2020-04-28,487
2020-04-29,485
2020-04-30,491
2020-05-04,487
2020-05-05,487
2020-05-06,481
2020-05-07,486
2020-05-08,484
2020-05-11,484
2020-05-12,485
2020-05-13,482
2020-05-14,484
